timestamp,ref,val,knn,threshold,n-box,acc-full,acc-bbox,mAP,memo,AP0,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,FP0,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,FP9,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,TP0,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30
2019-11-11 22:02:14.726380,floor-orig,frontview,False,0.83,200,0.2783964276313782,0.7260578870773315,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 22:02:58.367437,floor-orig,frontview2,True,0.83,200,0.17825311422348022,0.8345195651054382,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 22:03:41.904528,floor-orig,frontview2,False,0.83,200,0.08021390438079834,0.7348754405975342,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 22:04:15.648748,floor-orig,office,True,0.83,200,0.13588111102581024,0.7027601003646851,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 22:04:48.869135,floor-orig,office,False,0.83,200,0.09978768229484558,0.6475583910942078,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-12 12:07:51.878203,no-masked-trimed,wall,True,0.83,200,0.5071633458137512,0.6446991562843323,-1.0,"slidwindow n=3, mode=first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-12 12:08:21.700864,no-masked-trimed,wall,False,0.83,200,0.532951295375824,0.7249283790588379,-1.0,"slidwindow n=3, mode=first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-12 12:09:10.374576,no-masked-trimed,floor,True,0.83,200,0.2928176820278168,0.4948755502700806,-1.0,"slidwindow n=3, mode=first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-12 12:09:56.828572,no-masked-trimed,floor,False,0.83,200,0.29558011889457697,0.5021961927413939,-1.0,"slidwindow n=3, mode=first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-12 12:10:33.336273,no-masked-trimed,frontview,True,0.83,200,0.34966591000556946,0.6993318200111389,-1.0,"slidwindow n=3, mode=first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
